e_trend,e_range_pct,e_ret_pct,e_rv_bp,e_sign_changes_5m,trend_score,pnl,date
0.17647058823529904,0.39666914584883217,0.07000043750273705,5.589000982185546,2,0.3602836879432757,345.206,2026-01-02
0.3455149501661019,0.21921519503597686,0.07574212718850785,2.9140228611659458,4,0.38952536824879674,51.188,2026-01-05
0.9012605042017225,0.3459654325294718,0.31180498015787883,2.1273960510786507,2,0.85336273428885,51.369,2026-01-06
0.2655797101449093,0.19936434556486496,0.05294712510834637,2.453841262398012,2,0.5625000000000046,-60.0478,2026-01-07
0.2928176795580048,0.2627720271192267,-0.07694429523380508,4.171658007964791,4,0.20160000000003492,44.9666,2026-01-08
0.46866485013626696,0.2656917396655213,0.12452037935278559,4.1758935716693815,2,0.5448613376835293,296.4546,2026-01-09
0.9021406727828936,0.47344645856257345,0.4271153066543183,2.768207749455653,0,0.8205128205128184,68.8614,2026-01-12
0.6854838709677247,0.26742581090407375,-0.18331608005520722,3.796513290621152,1,0.3734177215189828,13.825,2026-01-13
0.745098039215663,0.4428364688856815,-0.3299565846599092,5.556777120023675,3,0.09859154929576394,101.9869,2026-01-14
0.6357615894039536,0.21740069395454806,-0.13821501072606596,3.2603062283528628,2,0.5690476190476367,-51.9126,2026-01-15
0.7370689655171921,0.3344529819654951,-0.24651491343144766,2.4966332852536377,3,0.5036144578313083,-106.3614,2026-01-16
0.35937499999997685,0.28173560873966735,0.10124873439081143,5.92624597379962,5,0.47317073170732044,-49.53,2026-01-20
0.7665317139001586,0.5451335246082436,0.4178621349223912,4.891951440160837,3,0.5355964167845407,173.8494,2026-01-21
0.5957446808510815,0.4769152714358141,-0.28411973617453595,3.981093548249155,3,0.21878715814508057,-59.6791,2026-01-22
0.3757575757575837,0.23977330523868015,0.0900966359078696,3.3680624044944953,3,0.2723684210526183,302.3395,2026-01-23
0.6623616236162122,0.39248627746318254,0.2599678479875967,3.2122740810434456,1,0.5320665083135367,-176.5834,2026-01-26
0.5183246073298563,0.2751447751303651,0.1426143075283081,2.3627763730356417,3,0.4594594594594761,-64.5453,2026-01-27
0.06382978723410174,0.134852093076644,0.00860758040915547,2.6061921476063383,5,0.42051282051281946,-34.4433,2026-01-28
0.8568872987477902,0.8027572341494821,-0.687872477920597,5.6973840352351095,2,0.19460343417825135,174.872,2026-01-29
0.03617363344048075,0.35965191245772593,-0.01300991644741365,5.569866205220401,1,0.009873060648808139,-194.5847,2026-01-30
0.7066817667044054,0.6402447866817594,0.452449316975551,4.577583474002649,1,0.7834776815456361,160.7884,2026-02-02
0.7541436464088439,0.5199580586317353,-0.3921230663162003,4.160218159894731,2,0.5212683681361157,255.1318,2026-02-03
0.5966850828729187,0.5243716955167674,-0.31288476859563524,7.614937842045683,2,0.4365325077399375,-116.8827,2026-02-04
0.06680161943320592,0.7254677357770221,-0.048462419596446225,7.967265590055699,2,0.44177215189873026,-13.3873,2026-02-05
