date,open,close,high,low,ret_pct,range_pct,first30_range_pct,rv_bp_1m,trend_score,mr_swings_5m,pnl,wins,losses,entries,exits
2026-01-02,685.71,683.17,686.87,679.82,-0.37041898178531407,1.0281314258214047,0.39666914584883217,3.75515918305958,0.3602836879432757,41,345.206,16,8,24,24
2026-01-05,686.54,687.73,689.43,686.375,0.1733329449121762,0.4449849972324919,0.21921519503597686,1.7750445039780933,0.38952536824879674,48,51.188,8,9,19,17
2026-01-06,687.93,691.8,692.315,687.78,0.5625572369281765,0.6592240489584815,0.3459654325294718,1.5162823174737559,0.85336273428885,39,51.369,12,9,23,21
2026-01-07,692.2,689.59,693.96,689.32,-0.37705865356833485,0.6703264952325897,0.19936434556486496,2.0693893776550483,0.5625000000000046,36,-60.0478,5,6,11,11
2026-01-08,688.81,689.44,690.615,687.49,0.09146208678737376,0.45368098604840235,0.2627720271192267,2.4236937075090585,0.20160000000003492,44,44.9666,7,6,16,13
2026-01-09,690.65,693.99,695.31,689.18,0.4836024035329084,0.8875696807355383,0.2656917396655213,2.414841188587538,0.5448613376835293,37,296.4546,10,4,18,14
2026-01-12,690.68,695.16,696.09,690.63,0.6486361267157031,0.7905252794347654,0.47344645856257345,1.5206995743218885,0.8205128205128184,43,68.8614,5,6,12,11
2026-01-13,695.52,693.75,696.09,691.35,-0.25448585231193666,0.6815044858523133,0.26742581090407375,2.5680976507339577,0.3734177215189828,29,13.825,3,4,7,7
2026-01-14,691,690.44,691.72,686.04,-0.08104196816207604,0.8219971056440034,0.4428364688856815,3.491673335103439,0.09859154929576394,36,101.9869,12,8,22,20
2026-01-15,694.57,692.18,695.45,691.25,-0.3440977871201031,0.6046906719265221,0.21740069395454806,2.2301042707006364,0.5690476190476367,34,-51.9126,7,8,18,15
2026-01-16,693.67,691.58,694.25,690.1,-0.3012960053051045,0.5982671875675721,0.3344529819654951,2.1950063543062197,0.5036144578313083,39,-106.3614,7,9,17,16
2026-01-20,681.49,677.61,684.77,676.57,-0.5693407093280892,1.203245828992345,0.28173560873966735,3.6097386846604778,0.47317073170732044,44,-49.53,8,7,17,15
2026-01-21,679.65,685.33,688.735,678.13,0.8357242698447824,1.5603619510041962,0.5451335246082436,4.424754340862021,0.5355964167845407,34,173.8494,15,12,27,27
2026-01-22,689.85,688.93,691.125,686.92,-0.1333623251431576,0.6095528013336291,0.4769152714358141,2.407993992348075,0.21878715814508057,35,-59.6791,9,8,20,17
2026-01-23,688.15,689.185,690.96,687.16,0.15040325510426042,0.5522051878224324,0.23977330523868015,2.3123872153046428,0.2723684210526183,49,302.3395,11,6,17,17
2026-01-26,690.47,692.71,694.13,689.92,0.3244167016669818,0.6097296044723213,0.39248627746318254,1.6752085357411377,0.5320665083135367,36,-176.5834,7,7,18,14
2026-01-27,694.18,695.54,696.53,693.57,0.1959146042813123,0.42640237402401726,0.2751447751303651,1.3766645413076797,0.4594594594594761,39,-64.5453,5,9,19,14
2026-01-28,697.06,695.42,697.84,693.94,-0.23527386451668242,0.5594927265945511,0.134852093076644,2.603754788948275,0.42051282051281946,45,-34.4433,6,10,16,16
2026-01-29,696.35,693.97,697.06,684.83,-0.34178214978100024,1.7563007108494153,0.8027572341494821,3.928445862015526,0.19460343417825135,31,174.872,6,11,19,17
2026-01-30,691.78,691.85,694.21,687.12,0.010118823903560385,1.0248923068027453,0.35965191245772593,4.518856764769311,0.009873060648808139,32,-194.5847,4,10,15,14
2026-02-02,689.58,695.46,696.93,689.425,0.8526929435308441,1.08834362945561,0.6402447866817594,2.437841901067849,0.7834776815456361,34,160.7884,9,7,17,16
2026-02-03,696.21,689.47,696.96,684.03,-0.9680987058502476,1.8571982591459562,0.5199580586317353,4.283154140722692,0.5212683681361157,37,255.1318,12,10,22,22
2026-02-04,690.35,686.12,691.45,681.76,-0.6127326718331307,1.4036358368943367,0.5243716955167674,5.46145084504411,0.4365325077399375,46,-116.8827,8,14,22,22
2026-02-05,680.94,677.45,683.69,675.79,-0.5125268011865963,1.1601609539754003,0.7254677357770221,5.064823332906502,0.44177215189873026,31,-13.3873,6,10,17,16
2026-02-06,681.46,690.66,692.31,680.85,1.3500425556892455,1.6816834443694306,0.8305696592609938,3.6796071779972634,0.8027923211169279,41,-218.1095,3,9,12,12
2026-02-09,689.42,693.92,695.87,688.34,0.6527225783992342,1.0922224478547147,0.47793797685010003,2.613873552952336,0.5976095617529902,31,334.8374,10,8,19,18
2026-02-10,694.95,692.11,696.54,691.66,-0.4086624937045876,0.7022087919994237,0.38923663572917866,2.819530097532541,0.5819672131147612,45,98.2298,9,6,18,15
2026-02-11,696.43,691.91,697.14,689.18,-0.6490243096937212,1.142972014416386,0.4788708125726974,3.5106307310603753,0.5678391959798946,37,212.1615,11,8,19,19
